Date Finished, data, num_classes, model_name, degree, nodes, parameter, flops, size
05-24-21_09:29:03, CIFAR10,10, cResNet18,4,64, 0.7M, 70.66M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,6,64, 1.05M, 105.37M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,8,64, 1.4M, 140.08M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,10,64, 1.74M, 174.8M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,12,64, 2.09M, 209.51M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,14,64, 2.44M, 244.23M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,16,64, 2.79M, 278.94M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,18,64, 3.14M, 313.65M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,20,64, 3.49M, 348.37M,32
05-24-21_09:29:03, CIFAR10,10, cResNet18,64,64, 11.16M, 1112.07M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,4,64, 0.95M, 40.17M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,6,64, 1.43M, 59.78M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,8,64, 1.9M, 79.39M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,10,64, 2.38M, 98.99M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,12,64, 2.86M, 118.6M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,14,64, 3.33M, 138.21M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,16,64, 3.81M, 157.82M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,18,64, 4.29M, 177.43M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,20,64, 4.76M, 197.03M,32
05-24-21_09:29:03, CIFAR10,10, vgg16_bn,64,64, 15.24M, 628.41M,32
05-24-21_09:29:03, SVHN,10, cResNet18,4,64, 0.7M, 70.66M,32
05-24-21_09:29:03, SVHN,10, cResNet18,6,64, 1.05M, 105.37M,32
05-24-21_09:29:04, SVHN,10, cResNet18,8,64, 1.4M, 140.08M,32
05-24-21_09:29:04, SVHN,10, cResNet18,10,64, 1.74M, 174.8M,32
05-24-21_09:29:04, SVHN,10, cResNet18,12,64, 2.09M, 209.51M,32
05-24-21_09:29:04, SVHN,10, cResNet18,14,64, 2.44M, 244.23M,32
05-24-21_09:29:04, SVHN,10, cResNet18,16,64, 2.79M, 278.94M,32
05-24-21_09:29:04, SVHN,10, cResNet18,18,64, 3.14M, 313.65M,32
05-24-21_09:29:04, SVHN,10, cResNet18,20,64, 3.49M, 348.37M,32
05-24-21_09:29:04, SVHN,10, cResNet18,64,64, 11.16M, 1112.07M,32
05-24-21_09:29:04, SVHN,10, vgg16_bn,4,64, 0.95M, 40.17M,32
05-24-21_09:29:04, SVHN,10, vgg16_bn,6,64, 1.43M, 59.78M,32
05-24-21_09:29:04, SVHN,10, vgg16_bn,8,64, 1.9M, 79.39M,32
05-24-21_09:29:04, SVHN,10, vgg16_bn,10,64, 2.38M, 98.99M,32
05-24-21_09:29:04, SVHN,10, vgg16_bn,12,64, 2.86M, 118.6M,32
05-24-21_09:29:04, SVHN,10, vgg16_bn,14,64, 3.33M, 138.21M,32
05-24-21_09:29:04, SVHN,10, vgg16_bn,16,64, 3.81M, 157.82M,32
05-24-21_09:29:04, SVHN,10, vgg16_bn,18,64, 4.29M, 177.43M,32
05-24-21_09:29:04, SVHN,10, vgg16_bn,20,64, 4.76M, 197.03M,32
05-24-21_09:29:04, SVHN,10, vgg16_bn,64,64, 15.24M, 628.41M,32
05-24-21_09:29:04, CIFAR100,100, cResNet18,4,64, 0.7M, 70.66M,32
05-24-21_09:29:04, CIFAR100,100, cResNet18,6,64, 1.05M, 105.38M,32
05-24-21_09:29:04, CIFAR100,100, cResNet18,8,64, 1.4M, 140.1M,32
05-24-21_09:29:04, CIFAR100,100, cResNet18,10,64, 1.75M, 174.81M,32
05-24-21_09:29:04, CIFAR100,100, cResNet18,12,64, 2.1M, 209.53M,32
05-24-21_09:29:04, CIFAR100,100, cResNet18,14,64, 2.45M, 244.25M,32
05-24-21_09:29:04, CIFAR100,100, cResNet18,16,64, 2.8M, 278.96M,32
05-24-21_09:29:04, CIFAR100,100, cResNet18,18,64, 3.15M, 313.68M,32
05-24-21_09:29:04, CIFAR100,100, cResNet18,20,64, 3.5M, 348.4M,32
05-24-21_09:29:04, CIFAR100,100, cResNet18,64,64, 11.21M, 1112.17M,32
05-24-21_09:29:05, CIFAR100,100, vgg16_bn,4,64, 0.96M, 40.18M,32
05-24-21_09:29:05, CIFAR100,100, vgg16_bn,6,64, 1.43M, 59.79M,32
05-24-21_09:29:05, CIFAR100,100, vgg16_bn,8,64, 1.91M, 79.4M,32
05-24-21_09:29:05, CIFAR100,100, vgg16_bn,10,64, 2.39M, 99.01M,32
05-24-21_09:29:05, CIFAR100,100, vgg16_bn,12,64, 2.87M, 118.62M,32
05-24-21_09:29:05, CIFAR100,100, vgg16_bn,14,64, 3.34M, 138.23M,32
05-24-21_09:29:05, CIFAR100,100, vgg16_bn,16,64, 3.82M, 157.84M,32
05-24-21_09:29:05, CIFAR100,100, vgg16_bn,18,64, 4.3M, 177.45M,32
05-24-21_09:29:05, CIFAR100,100, vgg16_bn,20,64, 4.78M, 197.06M,32
05-24-21_09:29:05, CIFAR100,100, vgg16_bn,64,64, 15.29M, 628.5M,32
05-24-21_09:29:05, TinyImageNet,200, ResNet18,4,64, 0.73M, 235.84M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,6,64, 1.09M, 349.22M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,8,64, 1.46M, 462.6M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,10,64, 1.82M, 575.98M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,12,64, 2.19M, 689.36M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,14,64, 2.55M, 802.74M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,16,64, 2.92M, 916.12M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,18,64, 3.28M, 1029.5M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,20,64, 3.65M, 1142.88M,224
05-24-21_09:29:05, TinyImageNet,200, ResNet18,64,64, 11.68M, 3637.23M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,4,64, 0.96M, 1965.17M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,6,64, 1.44M, 2924.38M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,8,64, 1.92M, 3883.58M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,10,64, 2.4M, 4842.78M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,12,64, 2.88M, 5801.99M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,14,64, 3.36M, 6761.19M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,16,64, 3.83M, 7720.39M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,18,64, 4.31M, 8679.6M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,20,64, 4.79M, 9638.8M,224
05-24-21_09:29:06, TinyImageNet,200, vgg16_bn,64,64, 15.34M, 30741.28M,224
05-24-21_09:29:07, TinyImageNet,200, ResNet50,4,64, 1.59M, 544.79M,224
05-24-21_09:29:07, TinyImageNet,200, ResNet50,6,64, 2.39M, 800.37M,224
05-24-21_09:29:07, TinyImageNet,200, ResNet50,8,64, 3.19M, 1055.94M,224
05-24-21_09:29:07, TinyImageNet,200, ResNet50,10,64, 3.98M, 1311.51M,224
05-24-21_09:29:07, TinyImageNet,200, ResNet50,12,64, 4.78M, 1567.09M,224
05-24-21_09:29:07, TinyImageNet,200, ResNet50,14,64, 5.58M, 1822.66M,224
05-24-21_09:29:07, TinyImageNet,200, ResNet50,16,64, 6.38M, 2078.24M,224
05-24-21_09:29:07, TinyImageNet,200, ResNet50,18,64, 7.17M, 2333.81M,224
05-24-21_09:29:07, TinyImageNet,200, ResNet50,20,64, 7.97M, 2589.38M,224
05-24-21_09:29:07, TinyImageNet,200, ResNet50,64,64, 25.5M, 8212.01M,224
05-24-21_09:29:08, ImageNet,1000, ResNet18,4,64, 0.73M, 235.84M,224
05-24-21_09:29:08, ImageNet,1000, ResNet18,6,64, 1.09M, 349.22M,224
05-24-21_09:29:08, ImageNet,1000, ResNet18,8,64, 1.46M, 462.6M,224
05-24-21_09:29:08, ImageNet,1000, ResNet18,10,64, 1.82M, 575.98M,224
05-24-21_09:29:08, ImageNet,1000, ResNet18,12,64, 2.19M, 689.36M,224
05-24-21_09:29:08, ImageNet,1000, ResNet18,14,64, 2.55M, 802.74M,224
05-24-21_09:29:08, ImageNet,1000, ResNet18,16,64, 2.92M, 916.12M,224
05-24-21_09:29:08, ImageNet,1000, ResNet18,18,64, 3.28M, 1029.5M,224
05-24-21_09:29:08, ImageNet,1000, ResNet18,20,64, 3.65M, 1142.88M,224
05-24-21_09:29:08, ImageNet,1000, ResNet18,64,64, 11.68M, 3637.23M,224
05-24-21_09:29:08, ImageNet,1000, vgg16_bn,4,64, 0.98M, 1965.22M,224
05-24-21_09:29:08, ImageNet,1000, vgg16_bn,6,64, 1.48M, 2924.45M,224
05-24-21_09:29:08, ImageNet,1000, vgg16_bn,8,64, 1.97M, 3883.68M,224
05-24-21_09:29:08, ImageNet,1000, vgg16_bn,10,64, 2.46M, 4842.91M,224
05-24-21_09:29:08, ImageNet,1000, vgg16_bn,12,64, 2.95M, 5802.14M,224
05-24-21_09:29:08, ImageNet,1000, vgg16_bn,14,64, 3.44M, 6761.37M,224
05-24-21_09:29:09, ImageNet,1000, vgg16_bn,16,64, 3.94M, 7720.6M,224
05-24-21_09:29:09, ImageNet,1000, vgg16_bn,18,64, 4.43M, 8679.83M,224
05-24-21_09:29:09, ImageNet,1000, vgg16_bn,20,64, 4.92M, 9639.06M,224
05-24-21_09:29:09, ImageNet,1000, vgg16_bn,64,64, 15.75M, 30742.1M,224
05-24-21_09:29:09, ImageNet,1000, ResNet50,4,64, 1.59M, 544.79M,224
05-24-21_09:29:09, ImageNet,1000, ResNet50,6,64, 2.39M, 800.37M,224
05-24-21_09:29:09, ImageNet,1000, ResNet50,8,64, 3.19M, 1055.94M,224
05-24-21_09:29:10, ImageNet,1000, ResNet50,10,64, 3.98M, 1311.51M,224
05-24-21_09:29:10, ImageNet,1000, ResNet50,12,64, 4.78M, 1567.09M,224
05-24-21_09:29:10, ImageNet,1000, ResNet50,14,64, 5.58M, 1822.66M,224
05-24-21_09:29:10, ImageNet,1000, ResNet50,16,64, 6.38M, 2078.24M,224
05-24-21_09:29:10, ImageNet,1000, ResNet50,18,64, 7.17M, 2333.81M,224
05-24-21_09:29:10, ImageNet,1000, ResNet50,20,64, 7.97M, 2589.38M,224
05-24-21_09:29:10, ImageNet,1000, ResNet50,64,64, 25.5M, 8212.01M,224
05-24-21_09:29:11, CIFAR10,10, resnet_56,4,16, 0.21M, 64.34M,32
05-24-21_09:29:11, CIFAR10,10, resnet_56,6,16, 0.32M, 95.71M,32
05-24-21_09:29:11, CIFAR10,10, resnet_56,8,16, 0.42M, 127.08M,32
05-24-21_09:29:11, CIFAR10,10, resnet_56,10,16, 0.53M, 158.46M,32
05-24-21_09:29:11, CIFAR10,10, resnet_56,12,16, 0.64M, 189.83M,32
05-24-21_09:29:11, CIFAR10,10, resnet_56,16,16, 0.85M, 252.57M,32
05-24-21_09:29:11, SVHN,10, resnet_56,4,16, 0.21M, 64.34M,32
05-24-21_09:29:11, SVHN,10, resnet_56,6,16, 0.32M, 95.71M,32
05-24-21_09:29:11, SVHN,10, resnet_56,8,16, 0.42M, 127.08M,32
05-24-21_09:29:11, SVHN,10, resnet_56,10,16, 0.53M, 158.46M,32
05-24-21_09:29:11, SVHN,10, resnet_56,12,16, 0.64M, 189.83M,32
05-24-21_09:29:11, SVHN,10, resnet_56,16,16, 0.85M, 252.57M,32
05-24-21_09:29:11, CIFAR100,100, resnet_56,4,16, 0.21M, 64.35M,32
05-24-21_09:29:11, CIFAR100,100, resnet_56,6,16, 0.32M, 95.72M,32
05-24-21_09:29:11, CIFAR100,100, resnet_56,8,16, 0.43M, 127.1M,32
05-24-21_09:29:11, CIFAR100,100, resnet_56,10,16, 0.53M, 158.47M,32
05-24-21_09:29:12, CIFAR100,100, resnet_56,12,16, 0.64M, 189.84M,32
05-24-21_09:29:12, CIFAR100,100, resnet_56,16,16, 0.85M, 252.58M,32
